Owner/Repo,PR Number,Agent,html_url,Issue Type,Severity,Message,File Name,StartLine,EndLine,Rule
MontrealAI/AGI-Alpha-Agent-v0,9,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/9,SECURITY_HOTSPOT,MEDIUM,Make sure that using this pseudorandom number generator is safe here.,PR_AGI-Alpha-Agent-v0_9:alpha_factory_v1/demos/alpha_asi_world_model/alpha_asi_world_model_demo.py,250,250,weak-cryptography
MontrealAI/AGI-Alpha-Agent-v0,9,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/9,SECURITY_HOTSPOT,MEDIUM,Make sure that using this pseudorandom number generator is safe here.,PR_AGI-Alpha-Agent-v0_9:alpha_factory_v1/demos/alpha_asi_world_model/alpha_asi_world_model_demo.py,252,252,weak-cryptography
MontrealAI/AGI-Alpha-Agent-v0,9,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/9,SECURITY_HOTSPOT,MEDIUM,Make sure that using this pseudorandom number generator is safe here.,PR_AGI-Alpha-Agent-v0_9:alpha_factory_v1/demos/alpha_asi_world_model/alpha_asi_world_model_demo.py,252,252,weak-cryptography
MontrealAI/AGI-Alpha-Agent-v0,9,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/9,SECURITY_HOTSPOT,MEDIUM,Make sure that using this pseudorandom number generator is safe here.,PR_AGI-Alpha-Agent-v0_9:alpha_factory_v1/demos/alpha_asi_world_model/alpha_asi_world_model_demo.py,253,253,weak-cryptography
MontrealAI/AGI-Alpha-Agent-v0,9,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/9,SECURITY_HOTSPOT,MEDIUM,Make sure that using this pseudorandom number generator is safe here.,PR_AGI-Alpha-Agent-v0_9:alpha_factory_v1/demos/alpha_asi_world_model/alpha_asi_world_model_demo.py,276,276,weak-cryptography
MontrealAI/AGI-Alpha-Agent-v0,9,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/9,SECURITY_HOTSPOT,MEDIUM,Make sure that using this pseudorandom number generator is safe here.,PR_AGI-Alpha-Agent-v0_9:alpha_factory_v1/demos/alpha_asi_world_model/alpha_asi_world_model_demo.py,289,289,weak-cryptography
MontrealAI/AGI-Alpha-Agent-v0,9,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/9,SECURITY_HOTSPOT,MEDIUM,Make sure that using this pseudorandom number generator is safe here.,PR_AGI-Alpha-Agent-v0_9:alpha_factory_v1/demos/alpha_asi_world_model/alpha_asi_world_model_demo_v4.py,270,270,weak-cryptography
MontrealAI/AGI-Alpha-Agent-v0,9,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/9,SECURITY_HOTSPOT,MEDIUM,Make sure that using this pseudorandom number generator is safe here.,PR_AGI-Alpha-Agent-v0_9:alpha_factory_v1/demos/alpha_asi_world_model/alpha_asi_world_model_demo_v4.py,271,271,weak-cryptography
MontrealAI/AGI-Alpha-Agent-v0,9,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/9,SECURITY_HOTSPOT,MEDIUM,Make sure that using this pseudorandom number generator is safe here.,PR_AGI-Alpha-Agent-v0_9:alpha_factory_v1/demos/alpha_asi_world_model/alpha_asi_world_model_demo_v4.py,271,271,weak-cryptography
MontrealAI/AGI-Alpha-Agent-v0,9,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/9,SECURITY_HOTSPOT,MEDIUM,Make sure that using this pseudorandom number generator is safe here.,PR_AGI-Alpha-Agent-v0_9:alpha_factory_v1/demos/alpha_asi_world_model/alpha_asi_world_model_demo_v4.py,271,271,weak-cryptography
MontrealAI/AGI-Alpha-Agent-v0,9,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/9,SECURITY_HOTSPOT,MEDIUM,Make sure that using this pseudorandom number generator is safe here.,PR_AGI-Alpha-Agent-v0_9:alpha_factory_v1/demos/alpha_asi_world_model/alpha_asi_world_model_demo_v4.py,288,288,weak-cryptography
MontrealAI/AGI-Alpha-Agent-v0,9,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/9,SECURITY_HOTSPOT,MEDIUM,Make sure that using this pseudorandom number generator is safe here.,PR_AGI-Alpha-Agent-v0_9:alpha_factory_v1/demos/alpha_asi_world_model/alpha_asi_world_model_demo_v4.py,289,289,weak-cryptography
MontrealAI/AGI-Alpha-Agent-v0,9,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/9,SECURITY_HOTSPOT,MEDIUM,Make sure that using this pseudorandom number generator is safe here.,PR_AGI-Alpha-Agent-v0_9:alpha_factory_v1/demos/alpha_asi_world_model/alpha_asi_world_model_demo_v4.py,299,299,weak-cryptography
MontrealAI/AGI-Alpha-Agent-v0,9,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/9,SECURITY_HOTSPOT,LOW,Make sure that this logger's configuration is safe.,PR_AGI-Alpha-Agent-v0_9:alpha_factory_v1/demos/alpha_asi_world_model/alpha_asi_world_model_demo_v4.py,46,50,log-injection
MontrealAI/AGI-Alpha-Agent-v0,9,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/9,SECURITY_HOTSPOT,LOW,Make sure that this logger's configuration is safe.,PR_AGI-Alpha-Agent-v0_9:alpha_factory_v1/demos/meta_agentic_agi/agents/agent_base.py,44,44,log-injection
MontrealAI/AGI-Alpha-Agent-v0,9,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/9,SECURITY_HOTSPOT,LOW,Make sure that this logger's configuration is safe.,PR_AGI-Alpha-Agent-v0_9:alpha_factory_v1/demos/meta_agentic_agi_v2/agents/agent_base.py,44,44,log-injection
MontrealAI/AGI-Alpha-Agent-v0,9,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/9,SECURITY_HOTSPOT,LOW,Make sure that this logger's configuration is safe.,PR_AGI-Alpha-Agent-v0_9:alpha_factory_v1/demos/meta_agentic_agi_v3/agents/agent_base.py,44,44,log-injection
WorkflowAI/WorkflowAI,442,OpenAI_Codex,https://github.com/WorkflowAI/WorkflowAI/pull/442,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_WorkflowAI_442:api/tests/component/openai_proxy/openai_proxy_test.py,851,851,encrypt-data
WorkflowAI/WorkflowAI,442,OpenAI_Codex,https://github.com/WorkflowAI/WorkflowAI/pull/442,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_WorkflowAI_442:api/tests/component/openai_proxy/openai_proxy_test.py,872,872,encrypt-data
WorkflowAI/WorkflowAI,442,OpenAI_Codex,https://github.com/WorkflowAI/WorkflowAI/pull/442,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_WorkflowAI_442:api/tests/component/run/openai_test.py,86,86,encrypt-data
WorkflowAI/WorkflowAI,442,OpenAI_Codex,https://github.com/WorkflowAI/WorkflowAI/pull/442,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_WorkflowAI_442:api/tests/component/run/openai_test.py,94,94,encrypt-data
Blaizzy/mlx-vlm,361,OpenAI_Codex,https://github.com/Blaizzy/mlx-vlm/pull/361,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_mlx-vlm_361:mlx_vlm/tests/test_utils.py,258,258,others
DannyMac180/meta-agent,179,OpenAI_Codex,https://github.com/DannyMac180/meta-agent/pull/179,SECURITY_HOTSPOT,HIGH,Make sure disabling auto-escaping feature is safe here.,PR_meta-agent_179:src/meta_agent/template_mixer.py,42,42,xss
MontrealAI/AGI-Alpha-Agent-v0,3102,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3102,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_AGI-Alpha-Agent-v0_3102:scripts/generate_demo_docs.py,117,117,encrypt-data
vllm-project/vllm,19117,OpenAI_Codex,https://github.com/vllm-project/vllm/pull/19117,SECURITY_HOTSPOT,MEDIUM,Make sure that using this pseudorandom number generator is safe here.,PR_vllm_19117:tests/distributed/conftest.py,22,22,weak-cryptography
MontrealAI/AGI-Alpha-Agent-v0,1067,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/1067,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_AGI-Alpha-Agent-v0_1067:tests/test_alert_webhook.py,106,106,encrypt-data
MontrealAI/AGI-Alpha-Agent-v0,2083,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2083,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_AGI-Alpha-Agent-v0_2083:alpha_factory_v1/demos/macro_sentinel/data_feeds.py,220,220,encrypt-data
MontrealAI/AGI-Alpha-Agent-v0,2284,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2284,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_AGI-Alpha-Agent-v0_2284:alpha_factory_v1/demos/alpha_agi_business_3_v1/alpha_agi_business_3_v1.py,146,146,encrypt-data
tomquist/b2500-meter,129,OpenAI_Codex,https://github.com/tomquist/b2500-meter/pull/129,SECURITY_HOTSPOT,LOW,"Make sure using this hardcoded IP address ""192.168.1.14"" is safe here.",PR_b2500-meter_129:powermeter/modbus_test.py,16,16,others
MontrealAI/AGI-Alpha-Agent-v0,2300,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2300,SECURITY_HOTSPOT,LOW,Make sure that expanding this archive file is safe here.,PR_AGI-Alpha-Agent-v0_2300:tests/test_evolution_worker.py,68,68,others
leonteale/pentestpackage,19,OpenAI_Codex,https://github.com/leonteale/pentestpackage/pull/19,SECURITY_HOTSPOT,LOW,"Make sure using this hardcoded IP address ""1.1.1.1"" is safe here.",PR_pentestpackage_19:tests/test_whois_perms.py,39,39,others
WorkflowAI/WorkflowAI,447,OpenAI_Codex,https://github.com/WorkflowAI/WorkflowAI/pull/447,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_WorkflowAI_447:api/tests/component/openai_proxy/openai_proxy_test.py,799,799,encrypt-data
WorkflowAI/WorkflowAI,447,OpenAI_Codex,https://github.com/WorkflowAI/WorkflowAI/pull/447,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_WorkflowAI_447:api/tests/component/openai_proxy/openai_proxy_test.py,820,820,encrypt-data
WorkflowAI/WorkflowAI,447,OpenAI_Codex,https://github.com/WorkflowAI/WorkflowAI/pull/447,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_WorkflowAI_447:api/tests/component/run/openai_test.py,86,86,encrypt-data
WorkflowAI/WorkflowAI,447,OpenAI_Codex,https://github.com/WorkflowAI/WorkflowAI/pull/447,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_WorkflowAI_447:api/tests/component/run/openai_test.py,94,94,encrypt-data
MontrealAI/AGI-Alpha-Agent-v0,2305,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2305,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_AGI-Alpha-Agent-v0_2305:alpha_factory_v1/demos/alpha_agi_insight_v1/src/interface/api_server.py,151,151,others
MontrealAI/AGI-Alpha-Agent-v0,2305,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2305,SECURITY_HOTSPOT,LOW,Make sure that hashing data is safe here.,PR_AGI-Alpha-Agent-v0_2305:alpha_factory_v1/demos/alpha_agi_insight_v1/src/interface/api_server.py,301,301,others
MontrealAI/AGI-Alpha-Agent-v0,2377,OpenAI_Codex,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/2377,SECURITY_HOTSPOT,HIGH,Make sure disabling CSRF protection is safe here.,PR_AGI-Alpha-Agent-v0_2377:alpha_factory_v1/ui/app.py,9,9,csrf
WorkflowAI/WorkflowAI,431,OpenAI_Codex,https://github.com/WorkflowAI/WorkflowAI/pull/431,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_WorkflowAI_431:api/tests/component/openai_proxy/openai_proxy_test.py,851,851,encrypt-data
WorkflowAI/WorkflowAI,431,OpenAI_Codex,https://github.com/WorkflowAI/WorkflowAI/pull/431,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_WorkflowAI_431:api/tests/component/openai_proxy/openai_proxy_test.py,872,872,encrypt-data
WorkflowAI/WorkflowAI,431,OpenAI_Codex,https://github.com/WorkflowAI/WorkflowAI/pull/431,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_WorkflowAI_431:api/tests/component/run/openai_test.py,86,86,encrypt-data
WorkflowAI/WorkflowAI,431,OpenAI_Codex,https://github.com/WorkflowAI/WorkflowAI/pull/431,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_WorkflowAI_431:api/tests/component/run/openai_test.py,94,94,encrypt-data
KenYu910645/MapleStoryAutoLevelUp,173,OpenAI_Codex,https://github.com/KenYu910645/MapleStoryAutoLevelUp/pull/173,SECURITY_HOTSPOT,MEDIUM,Make sure that using this pseudorandom number generator is safe here.,PR_MapleStoryAutoLevelUp_173:src/legacy/mapleStoryAutoLevelUp_legacy.py,1034,1034,weak-cryptography
PostHog/posthog,35081,Cursor,https://github.com/PostHog/posthog/pull/35081,SECURITY_HOTSPOT,HIGH,Make sure disabling CSRF protection is safe here.,PR_posthog_35081:posthog/urls.py,176,176,csrf
getsentry/sentry-python,4459,Cursor,https://github.com/getsentry/sentry-python/pull/4459,SECURITY_HOTSPOT,MEDIUM,Make sure that using this pseudorandom number generator is safe here.,PR_sentry-python_4459:sentry_sdk/profiler/transaction_profiler.py,290,290,weak-cryptography
airbytehq/airbyte,62455,Devin,https://github.com/airbytehq/airbyte/pull/62455,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_airbyte_62455:airbyte-integrations/connectors/source-file/unit_tests/test_proxy_certificate_support.py,18,18,encrypt-data
airbytehq/airbyte,62455,Devin,https://github.com/airbytehq/airbyte/pull/62455,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_airbyte_62455:airbyte-integrations/connectors/source-file/unit_tests/test_proxy_certificate_support.py,66,66,encrypt-data
airbytehq/airbyte,62455,Devin,https://github.com/airbytehq/airbyte/pull/62455,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_airbyte_62455:airbyte-integrations/connectors/source-file/unit_tests/test_proxy_certificate_support.py,104,104,encrypt-data
airbytehq/airbyte,62455,Devin,https://github.com/airbytehq/airbyte/pull/62455,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_airbyte_62455:airbyte-integrations/connectors/source-file/unit_tests/test_proxy_certificate_support.py,115,115,encrypt-data
airbytehq/airbyte,62455,Devin,https://github.com/airbytehq/airbyte/pull/62455,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_airbyte_62455:airbyte-integrations/connectors/source-file/unit_tests/test_proxy_certificate_support.py,116,116,encrypt-data
airbytehq/airbyte,62455,Devin,https://github.com/airbytehq/airbyte/pull/62455,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_airbyte_62455:airbyte-integrations/connectors/source-file/unit_tests/test_proxy_certificate_support.py,37,37,others
airbytehq/airbyte,62455,Devin,https://github.com/airbytehq/airbyte/pull/62455,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_airbyte_62455:airbyte-integrations/connectors/source-file/unit_tests/test_proxy_certificate_support.py,88,88,others
airbytehq/airbyte,62455,Devin,https://github.com/airbytehq/airbyte/pull/62455,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_airbyte_62455:airbyte-integrations/connectors/source-file/unit_tests/test_proxy_certificate_support.py,97,97,others
airbytehq/airbyte,62455,Devin,https://github.com/airbytehq/airbyte/pull/62455,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_airbyte_62455:airbyte-integrations/connectors/source-file/unit_tests/test_proxy_certificate_support.py,98,98,others
airbytehq/airbyte,62455,Devin,https://github.com/airbytehq/airbyte/pull/62455,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_airbyte_62455:airbyte-integrations/connectors/source-file/unit_tests/test_proxy_certificate_support.py,99,99,others
airbytehq/airbyte,62455,Devin,https://github.com/airbytehq/airbyte/pull/62455,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_airbyte_62455:airbyte-integrations/connectors/source-file/unit_tests/test_proxy_certificate_support.py,109,109,others
reflex-dev/reflex-web,1465,Devin,https://github.com/reflex-dev/reflex-web/pull/1465,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_reflex-web_1465:pcweb/meta/meta.py,91,91,encrypt-data
crewAIInc/crewAI,1814,Devin,https://github.com/crewAIInc/crewAI/pull/1814,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_crewAI_1814:tests/task_test.py,722,722,others
crewAIInc/crewAI,1814,Devin,https://github.com/crewAIInc/crewAI/pull/1814,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_crewAI_1814:tests/task_test.py,731,731,others
crewAIInc/crewAI,1814,Devin,https://github.com/crewAIInc/crewAI/pull/1814,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_crewAI_1814:tests/task_test.py,739,739,others
crewAIInc/crewAI,1814,Devin,https://github.com/crewAIInc/crewAI/pull/1814,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_crewAI_1814:tests/task_test.py,891,891,others
appdotbuild/agent,114,Devin,https://github.com/appdotbuild/agent/pull/114,SECURITY_HOTSPOT,LOW,Using http protocol is insecure. Use https instead,PR_agent_114:agent/api/agent_server/test_async_server.py,381,381,encrypt-data
